Feather,Grade,DistanceFromRachis,Length,VaneToEdge,Position,Edge,Habitat
3h,light,1.92,5.17,0,Distal,Leading,rural
3h,light,3.64,3.21,0,Distal,Leading,rural
3h,light,6.31,20.23,0,Distal,Trailing,rural
3h,light,4.28,19.85,0,Distal,Trailing,rural
3h,light,6.67,17.81,0,Distal,Trailing,rural
3h,light,3.95,3.23,13.98,Distal,Trailing,rural
3h,light,6.83,4.9,0.89,Distal,Trailing,rural
3x,light,5.12,5.71,4.03,Middle,Leading,rural
3x,medium,5.02,5.09,4.7,Middle,Leading,rural
3x,medium,8.89,2.51,2.57,Middle,Leading,rural
3x,medium,4.64,4.95,3.81,Middle,Leading,rural
3x,medium,8.11,2.86,1.78,Middle,Leading,rural
3x,medium,7.48,5.72,0,Middle,Leading,rural
3x,medium,5.87,6.02,0,Distal,Leading,rural
3x,medium,4.59,3.37,4.9,Distal,Leading,rural
3x,light,5.95,3.54,2.53,Distal,Leading,rural
3x,medium,8.75,2.42,0,Distal,Leading,rural
3x,light,0,9.81,0,Basal,Trailing,rural
3x,light,7.11,4.68,0,Middle,Trailing,rural
3x,medium,6.24,5.61,1.78,Middle,Trailing,rural
3x,medium,8.71,3.62,0,Middle,Trailing,rural
3x,medium,4.4,8.66,0.91,Middle,Trailing,rural
3x,medium,6.66,6.07,1.3,Middle,Trailing,rural
3x,medium,4.99,9.02,0,Middle,Trailing,rural
3x,medium,7.31,5.4,0,Middle,Trailing,rural
3x,medium,3.63,11.16,0,Middle,Trailing,rural
3x,medium,5.6,7.96,1.09,Middle,Trailing,rural
3x,medium,8.56,5.21,0,Middle,Trailing,rural
3x,medium,2.72,11.27,1.1,Middle,Trailing,rural
3x,medium,5.87,8.08,0,Middle,Trailing,rural
3x,medium,7.81,6.12,0,Distal,Trailing,rural
3x,medium,3.57,7.03,4.82,Distal,Trailing,rural
3x,medium,4.75,8.81,1.52,Distal,Trailing,rural
3x,light,5.38,6.8,0,Distal,Trailing,rural
3x,medium,5.22,8.01,2.31,Distal,Trailing,rural
3x,medium,8.99,6.02,0,Distal,Trailing,rural
3x,light,8.81,5.53,0,Distal,Trailing,rural
3x,light,2.5,7.12,3.39,Distal,Trailing,rural
3L,light,2.69,4.18,3.65,Basal,Leading,rural
3L,light,7,1.21,2.78,Basal,Leading,rural
3L,light,6.67,1.91,2.62,Basal,Leading,rural
3L,light,6.38,3.7,1.61,Middle,Leading,rural
3L,light,8.14,2.02,1.92,Middle,Leading,rural
3L,light,6.14,5.33,0,Distal,Leading,rural
3L,medium,0,10.3,2.51,Distal,Leading,rural
3L,light,3.13,1.44,6.1,Distal,Leading,rural
3L,light,3.08,20.5,0,Distal,Trailing,rural
3L,light,11.87,2.7,8.41,Distal,Trailing,rural
3L,light,3.57,18.26,0,Distal,Trailing,rural
3L,light,15.81,1.9,3.65,Distal,Trailing,rural
14,light,6.02,10.9,0,Basal,Trailing,urban
