ID,Habitat,Type,Breakage,CrowAge,FLength,FWeight,LightBars,MediumBars,StrongBars,BarsTotal,DamageScore,LightLength,MediumLength,StrongLength,,,,,,,,
3h,rural,primary,0,,,,7,0,0,7,74.4,10.62857143,NA,NA,,,,,,,,
19,rural,primary,0,,,,15,0,0,15,146.97,9.798,NA,NA,,,,,,,,
22,rural,primary,0,,,,7,5,0,12,148.56,15.68,7.76,NA,,,,,,,,
26,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,"Feather number, feather type, Age of crow (origin of feather), feather length, feather weight (where known), feather environment, No light bars, no. med bars, no strong bars, total no bars, total damage (estimate), av. length light, av length medium, av length strong, Actual breakage (y/n), av barbule no. posn 1, av barbule no posn 2"
58,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
65,rural,primary,0,,,,2,0,0,2,15.13,7.565,NA,NA,,,,,,,,
76,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
92,rural,primary,0,,,,1,0,0,1,15.08,15.08,NA,NA,,,,,,,,
127,rural,primary,0,,,,0,1,0,1,27.4,NA,27.4,NA,,,,,,,,
128,rural,primary,0,,,,1,1,0,2,10.64,6.97,3.67,NA,,,,,,,,
130,rural,primary,0,,,,2,0,0,2,6.11,3.055,NA,NA,,,,,,,,
138,rural,primary,0,,,,9,0,0,9,77.88,8.653333333,NA,NA,,,,,,,,
183,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
200c,rural,primary,0,,,,2,0,0,2,15.74,7.87,NA,NA,,,,,,,,
200k,rural,primary,0,,,,2,1,0,3,18.04,8.115,1.81,NA,,,,,,,,
253i,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
304,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
337,rural,primary,0,,,,0,1,0,1,2.07,NA,2.07,NA,,,,,,,,
374,rural,primary,0,,,,0,5,0,5,58.15,NA,11.63,NA,,,,,,,,
377,rural,primary,0,,,,10,0,0,10,100.65,10.065,NA,NA,,,,,,,,
400,rural,primary,0,,,,4,0,0,4,13.26,3.315,NA,NA,,,,,,,,
473i,rural,primary,0,,,,0,1,0,1,8.83,NA,8.83,NA,,,,,,,,
557,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
558,rural,primary,0,,,,1,0,0,1,1.31,1.31,NA,NA,,,,,,,,
561,rural,primary,0,,,,1,0,0,1,8.56,8.56,NA,NA,,,,,,,,
574,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
582,rural,primary,0,,,,2,0,0,2,7.16,3.58,NA,NA,,,,,,,,
589,rural,primary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
600,rural,primary,1,,,,0,2,1,3,29.1,NA,12.33,4.44,,,,,,,,
3l,rural,secondary,0,,,,11,1,0,12,73.45,5.740909091,10.3,NA,,,,,,,,
20,rural,secondary,0,,,,5,0,0,5,32.86,6.572,NA,NA,,,,,,,,
39,rural,secondary,0,,,,0,1,0,1,21.69,NA,21.69,NA,,,,,,,,
40,rural,secondary,0,,,,3,2,0,5,33.36,8.6,3.78,NA,,,,,,,,
48,rural,secondary,0,,,,1,0,0,1,1.94,1.94,NA,NA,,,,,,,,
52,rural,secondary,0,,,,0,2,0,2,9.37,NA,4.685,NA,,,,,,,,
56,rural,secondary,0,,,,0,0,0,0,0,NA,NA,NA,,,,,,,,
62,rural,secondary,0,,,,2,2,0,4,21.42,7.535,3.175,NA,,,,,,,,
146,rural,secondary,0,,,,10,0,0,10,89.2,8.92,NA,NA,,,,,,,,
169,rural,secondary,0,,,,9,4,0,13,42.66,3.337777778,3.155,NA,,,,,,,,
172a,rural,secondary,0,,,,3,0,0,3,23.36,7.786666667,NA,NA,,,,,,,,
302,rural,secondary,0,,,,3,2,0,5,18.92,4.6,2.56,NA,,,,,,,,
303,rural,secondary,0,,,,8,4,0,12,131.06,8.975,14.815,NA,,,,,,,,
308,rural,secondary,0,,,,7,1,0,8,67.24,8.328571429,8.94,NA,,,,,,,,
351,rural,secondary,0,,,,0,1,0,1,2.71,NA,2.71,NA,,,,,,,,
375,rural,secondary,0,,,,0,2,0,2,12.1,NA,6.05,NA,,,,,,,,
391,rural,secondary,0,,,,12,0,0,12,66.94,5.578333333,NA,NA,,,,,,,,
398,rural,secondary,0,,,,2,2,0,4,16.02,5.61,2.4,NA,,,,,,,,
